id,name,name_en,name_ko,name_ja
3901,Badakhshan,Badakhshan,Badakhshan,バダフシャン
3871,Badghis,Badghis,Badghis,バドギス
3875,Baghlan,Baghlan,바글란,バグラン
3884,Balkh,Balkh,발크,バルフ
3872,Bamyan,Bamyan,바 미아,バミヤン
3892,Daykundi,Daykundi,데이 쿤디,Daykundi
3899,Farah,Farah,파라,ファラー
3889,Faryab,Faryab,파리 브,ファリャブ
3870,Ghazni,Ghazni,가즈니,ガズニ
3888,Ghōr,Ghōr,가 르,ゴール
3873,Helmand,Helmand,헬먼 랜드,ヘルマンド
3887,Herat,Herat,Herat,ヘラート
3886,Jowzjan,Jowzjan,Jowzjan,ジョフジャン
3902,Kabul,Kabul,카불,カブール
3890,Kandahar,Kandahar,칸다하르,カンダハル
3879,Kapisa,Kapisa,카피사,カピサ
3878,Khost,Khost,Khost,Khost
3876,Kunar,Kunar,Kunar,クナール
3900,Kunduz Province,Kunduz Province,쿤두즈 지방,クンドゥズ州
3891,Laghman,Laghman,라그 만,ラグマン
3897,Logar,Logar,로고,lager
3882,Nangarhar,Nangarhar,난 가르 하르,ナンガルハール
3896,Nimruz,Nimruz,니루즈,ニムルズ
3880,Nuristan,Nuristan,뉴리스탄,ヌリスタン
3894,Paktia,Paktia,팍 티아,パクティア
3877,Paktika,Paktika,Paktika,パクティカ
3881,Panjshir,Panjshir,Panjshir,パンジール
3895,Parwan,Parwan,Parwan,パルワン
3883,Samangan,Samangan,사만간,サマンガン
3885,Sar-e Pol,Sar-e Pol,Sar-e Pol,sar-e pol
3893,Takhar,Takhar,타카르,タカル
3898,Urozgan,Urozgan,우로즈건,ウロズガン
3874,Zabul,Zabul,자불,ザブール
603,Berat County,Berat County,베라트 카운티,ベラト郡
629,Berat District,Berat District,Berat 지구,ベラト地区
607,Bulqizë District,Bulqizë District,Bulqizë 지구,Bulqizë地区
618,Delvinë District,Delvinë District,델빈 지구,デルビネ地区
608,Devoll District,Devoll District,Devoll District,デヴォル地区
610,Dibër County,Dibër County,Dibër 카운티,ディバル郡
605,Dibër District,Dibër District,Dibër 지구,ディベール地区
632,Durrës County,Durrës County,Durrës 카운티,デュレの郡
639,Durrës District,Durrës District,Durrës 지구,Durrës地区
598,Elbasan County,Elbasan County,엘바산 카운티,エルバサン郡
631,Fier County,Fier County,치열한 카운티,フィア郡
627,Fier District,Fier District,치열한 지구,フィア地区
604,Gjirokastër County,Gjirokastër County,Gjirokastër 카운티,Gjirokastër郡
